center,left,right,steering,speed
IMG/2025-06-22_20-57-23-227_bc.png,IMG/2025-06-22_20-57-23-227_al.png,IMG/2025-06-22_20-57-23-227_cr.png,-0.09009,28171.544327
IMG/2025-06-22_20-57-24-364_bc.png,IMG/2025-06-22_20-57-24-364_al.png,IMG/2025-06-22_20-57-24-364_cr.png,-0.083655,0.287426
IMG/2025-06-22_20-57-24-536_bc.png,IMG/2025-06-22_20-57-24-536_al.png,IMG/2025-06-22_20-57-24-536_cr.png,-0.10656,1.697294
IMG/2025-06-22_20-57-24-709_bc.png,IMG/2025-06-22_20-57-24-709_al.png,IMG/2025-06-22_20-57-24-709_cr.png,-0.090675,3.54573
IMG/2025-06-22_20-57-24-882_bc.png,IMG/2025-06-22_20-57-24-882_al.png,IMG/2025-06-22_20-57-24-882_cr.png,-0.092835,5.838656
IMG/2025-06-22_20-57-25-053_bc.png,IMG/2025-06-22_20-57-25-053_al.png,IMG/2025-06-22_20-57-25-053_cr.png,-0.07092,9.235485
IMG/2025-06-22_20-57-25-222_bc.png,IMG/2025-06-22_20-57-25-222_al.png,IMG/2025-06-22_20-57-25-222_cr.png,-0.06129,11.761452
IMG/2025-06-22_20-57-25-394_bc.png,IMG/2025-06-22_20-57-25-394_al.png,IMG/2025-06-22_20-57-25-394_cr.png,-0.06471,14.728544
IMG/2025-06-22_20-57-25-567_bc.png,IMG/2025-06-22_20-57-25-567_al.png,IMG/2025-06-22_20-57-25-567_cr.png,-0.041085,17.249655
IMG/2025-06-22_20-57-26-575_bc.png,IMG/2025-06-22_20-57-26-575_al.png,IMG/2025-06-22_20-57-26-575_cr.png,0.024075,32.354906
IMG/2025-06-22_20-57-26-753_bc.png,IMG/2025-06-22_20-57-26-753_al.png,IMG/2025-06-22_20-57-26-753_cr.png,0.04086,33.042333
IMG/2025-06-22_20-57-27-245_bc.png,IMG/2025-06-22_20-57-27-245_al.png,IMG/2025-06-22_20-57-27-245_cr.png,0.040635,32.995956
IMG/2025-06-22_20-57-28-246_bc.png,IMG/2025-06-22_20-57-28-246_al.png,IMG/2025-06-22_20-57-28-246_cr.png,0.0,32.995937
IMG/2025-06-22_20-57-29-276_bc.png,IMG/2025-06-22_20-57-29-276_al.png,IMG/2025-06-22_20-57-29-276_cr.png,0.0,32.996321
IMG/2025-06-22_20-57-30-322_bc.png,IMG/2025-06-22_20-57-30-322_al.png,IMG/2025-06-22_20-57-30-322_cr.png,0.0,32.996321
IMG/2025-06-22_20-57-30-936_bc.png,IMG/2025-06-22_20-57-30-936_al.png,IMG/2025-06-22_20-57-30-936_cr.png,0.25,32.996321
IMG/2025-06-22_20-57-31-022_bc.png,IMG/2025-06-22_20-57-31-022_al.png,IMG/2025-06-22_20-57-31-022_cr.png,0.25,33.280413
